year,date,open_asian,high_asian,low_asian,close_asian,n_asian,range_pips_asian,net_pips_asian,open_post,high_post,low_post,close_post,n_post,range_pips_post,net_pips_post,gap_pips,continuation
2016,2016-11-24,112.551,113.528,112.41,113.272,540.0,111.80000000000092,72.10000000000036,113.277,113.42,112.734,113.258,895.0,68.6000000000007,-1.9000000000005457,0.49999999999954525,False
2016,2016-11-25,113.265,113.898,112.555,112.847,540.0,134.29999999999893,-41.80000000000064,112.846,113.305,112.561,113.21,775.0,74.39999999999998,36.39999999999901,-0.0999999999990564,False
2016,2016-11-28,112.644,112.783,111.358,111.943,540.0,142.49999999999972,-70.10000000000076,111.938,112.795,111.618,111.666,900.0,117.70000000000067,-27.200000000000557,-0.49999999999954525,True
2016,2016-11-29,111.673,112.623,111.673,112.589,540.0,95.00000000000028,91.59999999999968,112.59,113.335,112.268,112.463,898.0,106.6999999999993,-12.700000000000955,0.10000000000047748,False
2016,2016-11-30,112.469,112.959,112.054,112.92,540.0,90.50000000000011,45.10000000000076,112.918,114.824,112.848,114.682,900.0,197.5999999999999,176.39999999999958,-0.19999999999953388,True
2016,2016-12-01,114.683,114.723,113.831,114.359,540.0,89.19999999999959,-32.40000000000123,114.361,114.719,113.868,113.897,898.0,85.09999999999991,-46.399999999999864,0.20000000000095497,True
2016,2016-12-02,113.899,114.142,113.581,113.864,540.0,56.099999999999284,-3.499999999999659,113.865,114.203,113.327,113.488,780.0,87.60000000000048,-37.699999999999534,0.0999999999990564,True
2016,2016-12-05,113.53,114.15,113.33,114.143,540.0,82.00000000000074,61.299999999999955,114.144,114.773,113.154,113.857,900.0,161.89999999999998,-28.700000000000614,0.10000000000047748,False
2016,2016-12-06,113.859,114.154,113.501,113.933,540.0,65.29999999999916,7.400000000001228,113.937,114.185,113.665,114.041,899.0,51.9999999999996,10.39999999999992,0.39999999999906777,True
2016,2016-12-07,114.046,114.399,113.96,114.191,540.0,43.900000000000716,14.499999999999602,114.19,114.191,113.412,113.732,898.0,77.89999999999964,-45.79999999999984,-0.10000000000047748,False
2016,2016-12-08,113.733,113.859,113.13,113.427,540.0,72.89999999999992,-30.59999999999974,113.423,114.374,113.267,114.057,899.0,110.69999999999993,63.400000000000034,-0.40000000000048885,False
2016,2016-12-09,114.059,114.566,114.008,114.476,540.0,55.80000000000069,41.70000000000016,114.478,115.367,114.324,115.258,780.0,104.30000000000064,78.00000000000011,0.19999999999953388,True
2016,2016-12-12,115.417,116.121,115.157,115.984,540.0,96.39999999999986,56.69999999999931,115.986,116.048,114.73,114.976,898.0,131.79999999999978,-101.00000000000051,0.20000000000095497,False
2016,2016-12-13,114.978,115.42,114.775,115.383,540.0,64.4999999999996,40.500000000000114,115.382,115.476,114.963,115.216,899.0,51.30000000000052,-16.600000000001103,-0.0999999999990564,False
2016,2016-12-14,115.217,115.331,114.869,115.091,540.0,46.20000000000033,-12.600000000000477,115.09,117.395,114.769,117.205,900.0,262.59999999999906,211.4999999999995,-0.0999999999990564,False
2016,2016-12-15,117.206,117.869,117.191,117.688,540.0,67.79999999999973,48.19999999999993,117.687,118.663,117.657,118.251,900.0,100.60000000000002,56.400000000000716,-0.10000000000047748,True
2016,2016-12-16,118.252,118.426,117.958,118.259,540.0,46.80000000000035,0.7000000000005002,118.259,118.406,117.468,117.87,780.0,93.80000000000024,-38.89999999999958,0.0,False
2016,2016-12-19,117.808,117.838,116.987,117.462,540.0,85.09999999999991,-34.600000000000364,117.463,117.557,116.546,117.018,899.0,101.09999999999957,-44.49999999999932,0.0999999999990564,True
2016,2016-12-20,117.023,118.241,116.991,118.17,540.0,125.0,114.70000000000056,118.169,118.238,117.653,117.829,899.0,58.499999999999375,-34.00000000000034,-0.10000000000047748,False
2016,2016-12-21,117.829,118.067,117.399,117.652,540.0,66.79999999999922,-17.69999999999925,117.653,117.866,117.108,117.617,896.0,75.79999999999956,-3.6000000000001364,0.10000000000047748,True
2016,2016-12-22,117.618,117.747,117.405,117.591,539.0,34.199999999999875,-2.7000000000001023,117.592,117.875,117.267,117.526,891.0,60.80000000000041,-6.60000000000025,0.10000000000047748,True
2016,2016-12-23,117.529,117.561,117.295,117.371,536.0,26.600000000000534,-15.800000000000125,117.37,117.443,117.171,117.284,776.0,27.199999999999136,-8.599999999999852,-0.0999999999990564,True
2016,2016-12-26,117.313,117.321,117.0,117.119,418.0,32.099999999999795,-19.40000000000026,117.125,117.24,117.125,117.192,60.0,11.499999999999488,6.6999999999993065,0.6000000000000227,False
2016,2016-12-27,117.193,117.456,117.191,117.253,540.0,26.500000000000057,6.000000000000227,117.254,117.616,117.219,117.478,892.0,39.70000000000056,22.399999999998954,0.10000000000047748,True
